Scenario,Parameter,Mean,Std,Median,Lower_68,Upper_68,N_params
GS1_db,$c^{\prime}_0$,12.62755443311076,0.03665984640936875,12.627918970892772,12.589979215980692,12.66436267210914,22
GS1_db,$c^{\prime}_1$,0.5158285399279139,0.016092173829171823,0.5158588835006399,0.5000219336552354,0.5320180828123193,22
GS1_db,$c^{\prime}_2$,0.4930702440798533,0.01734180732874217,0.4912842728245199,0.47777077876600194,0.5107644418591548,22
GS1_db,$c^{\prime}_3$,0.516154733791495,0.018552996745753156,0.5177376639420036,0.4959100746255813,0.5346114116286869,22
GS1_db,$\log_{10} f_0$,-4.696907661807222,0.6875170198203298,-4.698938993678825,-5.43903442114862,-4.017153452706829,22
GS1_db,$\alpha$,2.588558306439889,0.6770342955761012,2.476408125321175,1.8583363704917644,3.3959102714650116,22
GS1_db,$\log_{10} f^{\prime}_0$,-4.806999049009966,0.6980532962398072,-4.805567054150382,-5.565029543009533,-4.0924837240230785,22
GS1_db,$\alpha^{\prime}$,2.552288122922384,0.7002852497846339,2.4198846400708147,1.842897837561951,3.4390600269920175,22
GS5_db,$a_0$,6.29416533061815,0.00987641081712046,6.293709232326683,6.283764441910784,6.307435444671278,22
GS5_db,$a_1$,0.4208225372310164,0.006286455752061235,0.42119086335366207,0.41744754012699675,0.4244288272584735,22
GS5_db,$a_2$,0.2602774921174239,0.007991923813862678,0.26026526955495394,0.2546166308124367,0.26484891129140464,22
GS5_db,$a_3$,0.06056657847547689,0.010491428472930261,0.06021742736394881,0.053835171501839085,0.06638577968526983,22
GS5_db,$a^{\prime}_0$,6.832060473284017,0.0062806552074404715,6.831893486069836,6.828187838754667,6.837423468805068,22
GS5_db,$a^{\prime}_1$,0.14007222923018223,0.006841778994514528,0.14069585880247157,0.1347969886536062,0.14442510053677896,22
GS5_db,$a^{\prime}_2$,0.7440062516381931,0.011932893385619241,0.7431163799230052,0.7365670908895691,0.7498682119299821,22
GS5_db,$a^{\prime}_3$,0.776714482734472,0.010729104646553836,0.77586736059935,0.7704289227274921,0.782584076597587,22
GS5_db,$T_{\mathrm{nd}}$,15.043055720040403,0.0240635584679635,15.044218023466678,15.011638073088758,15.069430801614612,22
GS5_db,$c_0$,12.668944057942126,0.04530569301555328,12.67155713895,12.613555794771719,12.71857842913568,22
GS5_db,$c_1$,0.4894932611558244,0.015708290587743406,0.4886732369185101,0.475056422151977,0.5041259492801635,22
GS5_db,$c_2$,0.520349014246669,0.01840306507730729,0.5204301880130625,0.501803021393363,0.5386934533532924,22
GS5_db,$c_3$,0.4900234433212263,0.02275756497726442,0.4906863536708681,0.46709906867375295,0.5138284487411773,22
GS5_db,$T^{\prime}_{\mathrm{nd}}$,15.027619604703673,0.014245828890662782,15.026806992975555,15.015388717075544,15.037792573217123,22
GS5_db,$c^{\prime}_0$,12.646266268263853,0.02873615262293389,12.643462659097423,12.620974422694418,12.66836917568963,22
GS5_db,$c^{\prime}_1$,0.5095392766341931,0.018722565911049465,0.507976373903501,0.493746497798817,0.5280396122245152,22
GS5_db,$c^{\prime}_2$,0.4973205584227782,0.021714975325157287,0.4969804261131711,0.47599683626597666,0.5187670375757478,22
GS5_db,$c^{\prime}_3$,0.5187946611535663,0.02063560850590877,0.5192635644749992,0.49868042803711277,0.5374707016566036,22
GS5_db,$\log_{10} f_0$,-4.596235034624323,0.6838500287553215,-4.576476831309086,-5.327649470427222,-3.9650098765269735,22
GS5_db,$\alpha$,2.5864259618710266,0.6706339203145876,2.47641699634692,1.8929866046714126,3.3326594887685075,22
GS5_db,$\log_{10} f^{\prime}_0$,-4.702281476023879,0.7155801144578565,-4.749248058664758,-5.471290498995576,-3.9775763273739555,22
GS5_db,$\alpha^{\prime}$,2.5558845688656096,0.7088719285780593,2.412325874686033,1.8334508813426011,3.429928768677229,22
GSF5_db,$a_0$,6.291646147875266,0.010101777171460276,6.28841124681071,6.285056889664055,6.292740358355474,22
GSF5_db,$a_1$,0.4204321873801932,0.004596493828362621,0.42039205412352254,0.4163368619752212,0.42441348265210815,22
GSF5_db,$a_2$,0.2610817474747646,0.007767011166062807,0.2602747587612041,0.25576725730972716,0.2653436372886497,22
GSF5_db,$a_3$,0.06090130716461656,0.011648625950396273,0.0594562994158289,0.05387169854566694,0.0666044748767442,22
GSF5_db,$a^{\prime}_0$,6.857154948458946,0.005994830234942994,6.856618483773681,6.8509183716453785,6.864834186558199,22
GSF5_db,$a^{\prime}_1$,0.14003128374313245,0.003922120044290841,0.13975085594338427,0.13690479737903619,0.1433675711223287,22
GSF5_db,$a^{\prime}_2$,0.7477319658536494,0.014949248162998892,0.7467670173795847,0.7413185272233385,0.752643580070116,22
GSF5_db,$a^{\prime}_3$,0.7818559695727983,0.015649483153525063,0.7809019145940651,0.7751174165232113,0.7862601141236014,22
GSF5_db,$T_{\mathrm{nd}}$,15.049374728749221,0.02443639924354752,15.0570845982242,15.044248401052839,15.0652520470549,22
GSF5_db,$c_0$,12.682315161054667,0.046341232645680845,12.694835828568042,12.663061460498389,12.716460581832683,22
GSF5_db,$c_1$,0.4944766199697852,0.01727363562887735,0.4946957442142156,0.47771535262233755,0.5115301471407209,22
GSF5_db,$c_2$,0.5166077947192543,0.020444526835048122,0.5177989741838378,0.4985440775556166,0.5355970130143805,22
GSF5_db,$c_3$,0.4893923570881323,0.0318978229766083,0.4927671718029454,0.4657344203612714,0.5148081836631707,22
GSF5_db,$T^{\prime}_{\mathrm{nd}}$,14.972963967513515,0.013510304597014258,14.975467254725197,14.955942601176105,14.98667435676352,22
GSF5_db,$c^{\prime}_0$,12.551288801335353,0.026037245111462035,12.551855732193573,12.522375349593428,12.578361719770246,22
GSF5_db,$c^{\prime}_1$,0.5216062346114672,0.014468877496783288,0.5217961780201728,0.5080982214155192,0.535320430206258,22
GSF5_db,$c^{\prime}_2$,0.49144252552014206,0.031089786048441228,0.49337721721831596,0.47267477693933124,0.512644811570023,22
GSF5_db,$c^{\prime}_3$,0.5094320749861492,0.03050341222831761,0.5119199857400164,0.4902867486817841,0.5317375126623874,22
GSF5_db,$\log_{10} f_0$,-4.856532978675215,0.30132554915453996,-4.854464780807474,-5.070357527899388,-4.653973614196423,22
GSF5_db,$\alpha$,2.0010046317970054,0.005504576975404428,2.0004254906316628,1.997930788811255,2.0030004785275453,22
GSF5_db,$\log_{10} f^{\prime}_0$,-4.84384770959167,0.3222121988779811,-4.833703894760548,-5.081772639109769,-4.611793164528904,22
GSF5_db,$\alpha^{\prime}$,2.001608041824919,0.01119543622970484,2.0005819226213974,1.9980116910209849,2.002995402197661,22
